pts,,pts_up,,pts_down,,upper_lim,,fit_up,,fit_down,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
14692.941630611143,9.229748632917058e-8,14692.941630611143,1.6898497868124586e-7,14692.941630611143,1.714656835735569e-8,676454.7127575016,1.4500814771926884e-8,25303.641381808542,1.7653687843987262e-7,24996.429832701488,8.456977786873753e-8
31526.35343692289,2.245255778503341e-7,31526.35343692289,2.8348601926354775e-7,31719.494676121485,1.6898497868124586e-7,3114359.193114149,1.4713687196611885e-8,47757.88581426464,1.2534334079157384e-7,43843.96418598551,6.698065144087436e-8
68059.89060193412,5.542055696999513e-8,68059.89060193427,9.16273901188675e-8,68476.84880285256,2.4326293898144103e-8,6723357.5364993345,5.501819384315933e-9,106949.24396155697,7.978086380056248e-8,99391.09610297819,4.790487892168178e-8
146034.75736435212,3.185404263177107e-8,146034.75736435212,5.8747222943469396e-8,146034.75736435212,7.978086380056248e-9,,,201855.1284365743,5.789728889061239e-8,183062.53391962094,3.5792947907014e-8
313343.8824225653,4.232356854781989e-8,315263.53436922893,6.89616422061999e-8,315263.53436922893,1.9692633461662045e-8,,,510766.978103797,3.739252650133039e-8,341315.88315909257,2.6743311927971035e-8
1460347.5736435212,6.846096838574672e-8,1460347.5736435212,9.855323535263166e-8,1460347.5736435212,4.4864076674439054e-8,,,975865.4008287973,2.9187027910843252e-8,644196.8066392891,1.8577503071106417e-8
,,,,,,,,1670366.1140832384,2.3116604919142702e-8,1308310.6459342954,1.2718338504371263e-8
,,,,,,,,2722784.455918382,1.8308730324309843e-8,2722784.455918382,7.862662246773054e-9
